101.664			 0
74.03			 0
9.1			 0
5.81			 1
4.83			 2
4.35			 2.71
4.35			 3.9
4.885			 4
6.575			 5
7.05			 6
6.854			 7
6.028			 8
3.374			 9
-2.028			 10
-3			 10.18
-3			 18

