   -3,159            0,000           10,746
   -3,159			 0,998	  		 10,789
   -3,159			 1,996			 10,863
   -3,159			 2,994			 10,977
   -3,159			 3,993			 11,153
   -3,159		   	 4,991			 11,407
   -3,159			 5,989			 11,747
   -3,159			 6,987			 12,179
   -3,159			 7,985			 12,715
   -3,159		     8,983			 13,367
   -3,159			 9,981			 14,155
   -3,159			10,980			 15,119
   -3,159			11,978			 16,304
   -3,159			12,976			 17,786
   -3,159			13,069			 17,944
   -3,159			13,712			 19,000
