<<<<<<< HEAD
	107.049	0.000
	136.234	0.000
	190.009	0.000
	194.780	1.056
	196.050	2.111
	196.748	3.167
	196.895	4.222
	196.895	6.333
	196.895	8.444
	196.608	9.500
	195.590	10.556
	194.835	11.611
	194.800	11.928
	194.844	12.667
	195.017	13.722
	195.214	14.778
	195.410	15.833
	195.607	16.889
	195.832	17.944
	196.590	19.000
=======
  107.049            0.000 	          0.000
  136.234			 0.000		      0.000
  190.009			 0.000			  0.000
  194.780			 0.000			  1.056
  196.050			 0.000			  2.111
  196.748			 0.000			  3.167
  196.895			 0.000			  4.222
  196.895			 0.000			  6.333
  196.895			 0.000			  8.444
  196.608			 0.000			  9.500
  195.590			 0.000			 10.556
  194.835			 0.000		     11.611
  194.800			 0.000	         11.928
  194.844			 0.000	         12.667
  195.017			 0.000	         13.722
  195.214			 0.000	         14.778
  195.410			 0.000	         15.833
  195.607			 0.000	         16.889
  195.832			 0.000	         17.944
  196.590			 0.000	         19.000
>>>>>>> 6c2a1f759e60d4c82ca720bb069209c811cd51a5
